skills,passing_years,company_urls,responsibilities,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
"['Microsoft Office Suite', 'VideoScribe Software', 'PeopleSoft Finance Applications', 'Accounting', 'billing', 'Change Management', 'contracts', 'Client Relations', 'Database', 'delivery', 'Eclipse', 'Finance', 'financial reporting', 'financial statements', 'Front Office', 'hiring', 'instructor', 'Instructional Design', 'Leadership training', 'logistics', 'managing', 'needs analysis', 'payables', 'PeopleSoft HRMS', 'PeopleSoft', 'personnel', 'Program Management', 'Project Management', 'project plans', 'Teaching', 'training materials', 'training design and development', 'training material', 'training programs', 'upgrade', 'view']","['2003', '1993', '1983']","[None, None, None]","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks",0.75
"['R', 'Python', 'Tableau', 'Power BI', 'SQL', 'SAS', 'Deep Learning', 'Neural Networks', 'Artificial Intelligence']",['2020'],['N/A'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,Age at least 28 years,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","•Administration
•Health Safety and Environment
•Safety and Security Management",0.65
"['Data Analytics', 'Linear Regression', 'Logistic Regression', 'Business Intelligence', 'Business Analysis', 'GraphQL', 'Python']",['2020'],"['N/A', 'N/A']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.65
"['C', 'C++', 'Python', 'JAVA', 'HTML', 'CSS', 'JavaScript', 'Data Structures', 'SQL', 'PyCharm', 'Jupyter Notebook', 'Google Colab', 'Code Blocks', 'MATLAB', 'Turbo C++', 'MS Office', 'Scikit-Learn', 'TensorFlow', 'OpenCV', 'NumPy', 'Pytesseract', 'Keras']","['2023', '2019', '2017']","[None, None]","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks",0.316666667
"['Java', 'Spring', 'Javascript', 'CSS', 'HTML', 'REST APIs', 'React Native', 'Kotlin', 'PostgreSQL', 'MySQL']",['current'],"[None, None]","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.583333333
"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['2020'],[None],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.85
"['budget', 'hardware', 'network systems', 'database', 'Dec', 'documentation', 'inspection', 'logistics', 'meetings', 'MS Excel', 'Microsoft Office', 'Outlook', 'PowerPoint', 'network', 'networking', 'Operating Systems', 'Oracle', 'personnel', 'presentations', 'progress', 'quality', 'Maintain documentation', 'routers', 'safety', 'scheduling', 'shipping', 'spreadsheets', 'supervision']",['2019'],"['N/A', 'N/A', 'N/A', 'N/A']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",0.85
"['Artificial Intelligence', 'Deep Learning', 'Reinforcement Learning', 'Tensorflow Keras', 'Scikit learn', 'Numpy', 'Pandas', 'Matplotlib']",['2019'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.626666667
"['Java', 'Spring', 'Javascript', 'CSS', 'HTML', 'REST APIs', 'React Native', 'Kotlin', 'PostgreSQL', 'MySQL']",['current'],"[None, None]","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.333333333
"['Machine learning', 'Data Science', 'Deep Learning', 'Decision Trees', 'Random Forest', 'XGBoost', 'CATBoost', 'Classification', 'Regression', 'Scikit Learn', 'Numpy', 'Pandas', 'OpenCV', 'Python', 'Matplotlib', 'Loss Optimization']",['2019'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.65
"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['2002'],"[None, None, None]","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.216666667
"['ArcView', 'AutoCad', 'Drafting', 'GPS', 'graphic', 'Inspection', 'Microsoft Access', 'Microstation', 'File Maintenance', 'repairs', 'supervision', 'surveys', 'utilities']","['May 2004', 'May 1998']","[None, None, None]","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.85
"['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['2018'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.65
"['Material Management', 'Law Enforcement', 'mechanical test equipment', ""PC's"", 'MS Office', '10key by touch', 'Customer Service', 'Forklift and Crane Certification', 'Self-motivation', 'Leadership', 'NDT Level II', 'mechanical theory', 'pneumatic and hydraulic theory', 'automation', 'closing', 'coaching', 'oral', 'hardware', 'customer support', 'designing', 'direction', 'hand tools', 'inventory', 'ISO 9001', 'Machinery', 'materials', 'mechanical', 'personnel', 'processes', 'Procurement', 'programming', 'progress', 'quality', 'Quality Control', 'Receiving', 'repairs', 'repairing', 'research', 'robotic systems', 'safety', 'scheduling', 'shipping', 'simulation', 'Supervisor', 'Test Equipment', 'Troubleshooting', 'written', 'articles']","[None, None]","[None, None, None, None, None, None]","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.85
"['Data Analysis', 'Business Analysis', 'Machine Learning', 'Regression Analysis', 'Time Series Analysis', 'SQL', 'Base SAS', 'Python', 'NLP', 'Credit Risk', 'Tableau', 'Statistical Analysis', 'Data Visualization', 'Data Science', 'R', 'Power Bi']","['2018', '2020']",[None],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",Executive - VAT,BBA in Accounting and Finance,1 to 3 years,,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",VAT and Tax,0.65
"['HTML', 'CSS', 'JavaScript (Angular)', 'Python', 'Git', 'Algorithm Design', 'Technical Writing', 'Data Analysis', 'Interpersonal Communication', 'Patience']","['2015', '2012']","['N/A', 'N/A', 'N/A']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.65
"['Econometrics', 'Problem Solving', 'Data Analytics', 'Data Modeling', 'Data Validation', 'Data Reporting', 'Business Intelligence', 'Data Manipulation', 'Data Mining', 'Machine Learning', 'R Programming', 'SQL', 'Oracle', 'Scorecard', 'IFRS']","['2017', '2019']",['N/A'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification","Having CACC from reputed CA Firm
Internal Audit and Compliance",0.85
"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']",['2018'],['N/A'],"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,Age at least 22 years,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support","Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",0.596666667
"['API', 'Approach', 'ATL', 'audio', 'backup', 'broadcast', 'C++', 'CLI', 'com', 'CA', 'Hardware', 'concept', 'Content', 'clients', 'documentation', 'dynamic HTML5', 'editing', 'XML', 'FTP', 'functional', 'drawing', 'GUI', 'http', 'IDs', 'Innovation', 'explorer', 'IP', 'JavaScript', 'json', 'LAN', 'MB', 'C#', 'MFC', 'office', 'Win', 'Windows', '2000', 'migration', 'NAS', 'OOP', 'page', 'Proxy', 'rendering', 'SAN', 'Scrum', 'servers', 'specification', 'team management', 'threads', 'troubleshoot', 'Video', 'Video Editing', 'Visual C++', 'workflow', 'writer']","['N/A', 'N/A']","[None, None, None, None]","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.85
"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['2020'],[None],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.75
"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",['2019'],[None],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.383333333
"['C++', 'Python', '.Ney(VB, ASP)', 'CSS', 'Javascript', 'Visual Basic', 'Visual FoxPro', 'Analytical Process Improvement', 'Risk Assessment & Tracking', 'Data & Network Management', 'Scrum & Agile']",['2017'],"['N/A', 'N/A', 'N/A']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.85
